Route,Day,Fair Oaks & Woodbury,Fair Oaks & Washington,Raymond & Holly,Raymond & Del Mar Sta.,Arroyo Pkwy & California,Lake & Colorado,Lake & Villa,Lake & Washington,Woodbury & Raymond Ln,Fair Oaks & Woodbury
20,sat,,,,,,11:00 AM,11:05 AM,11:11 AM,11:17 AM,11:23 AM
20,sat,10:55 AM,11:00 AM,11:10 AM,11:13 AM,11:23 AM,11:32 AM,11:37 AM,11:43 AM,11:49 AM,11:55 AM
20,sat,11:23 AM,11:28 AM,11:38 AM,11:41 AM,11:51 AM,12:00 PM,12:05 PM,12:11 PM,12:17 PM,12:27 PM
20,sat,11:55 AM,12:00 PM,12:10 PM,12:14 PM,12:23 PM,12:32 PM,12:37 PM,12:43 PM,12:49 PM,1:02 PM
20,sat,12:27 PM,12:32 PM,12:42 PM,12:46 PM,12:55 PM,1:04 PM,1:09 PM,1:15 PM,1:21 PM,1:34 PM
20,sat,1:02 PM,1:07 PM,1:17 PM,1:21 PM,1:30 PM,1:39 PM,1:44 PM,1:50 PM,1:56 PM,2:06 PM
20,sat,1:34 PM,1:39 PM,1:49 PM,1:53 PM,2:03 PM,2:12 PM,2:16 PM,2:22 PM,2:28 PM,2:38 PM
20,sat,2:06 PM,2:11 PM,2:21 PM,2:25 PM,2:35 PM,2:44 PM,2:48 PM,2:54 PM,3:00 PM,3:10 PM
20,sat,2:38 PM,2:43 PM,2:53 PM,2:57 PM,3:06 PM,3:16 PM,3:21 PM,3:27 PM,3:33 PM,3:43 PM
20,sat,3:10 PM,3:15 PM,3:25 PM,3:29 PM,3:38 PM,3:48 PM,3:53 PM,3:59 PM,4:05 PM,4:15 PM
20,sat,3:43 PM,3:48 PM,3:58 PM,4:02 PM,4:11 PM,4:20 PM,4:25 PM,4:31 PM,4:37 PM,4:50 PM
20,sat,4:15 PM,4:20 PM,4:30 PM,4:34 PM,4:43 PM,4:52 PM,4:57 PM,5:03 PM,5:09 PM,5:22 PM
20,sat,4:50 PM,4:55 PM,5:04 PM,5:07 PM,5:16 PM,5:26 PM,5:30 PM,5:36 PM,5:42 PM,5:52 PM
20,sat,5:22 PM,5:27 PM,5:36 PM,5:39 PM,5:48 PM,5:58 PM,6:02 PM,6:08 PM,6:14 PM,6:24 PM
20,sat,5:52 PM,5:57 PM,6:06 PM,6:10 PM,6:19 PM,6:27 PM,6:31 PM,6:37 PM,6:43 PM,6:48 PM
20,sat,6:24 PM,6:29 PM,6:38 PM,6:42 PM,6:51 PM,6:59 PM,7:03 PM,7:08 PM,7:13 PM,7:18 PM
20,sat,6:48 PM,6:53 PM,7:02 PM,7:05 PM,7:14 PM,7:22 PM,7:26 PM,7:31 PM,7:36 PM,
20,sat,7:18 PM,7:23 PM,7:32 PM,7:35 PM,7:44 PM,7:52 PM,7:56 PM,8:01 PM,8:06 PM,
