Route,Day,Fair Oaks & Woodbury,Lake & Washington,Lake & Villa,Lake & Colorado,Arroyo Pkwy & California,Raymond & Del Mar Sta.,Raymond & Holly,Fair Oaks & Washington,Fair Oaks & Woodbury
20,sat,,,,10:56 AM,11:04 AM,11:12 AM,11:15 AM,11:25 AM,11:29 AM
20,sat,11:10 AM,11:17 AM,11:23 AM,11:28 AM,11:36 AM,11:44 AM,11:47 AM,11:57 AM,12:01 PM
20,sat,11:34 AM,11:41 AM,11:47 AM,11:52 AM,12:01 PM,12:10 PM,12:14 PM,12:25 PM,12:29 PM
20,sat,12:06 PM,12:13 PM,12:19 PM,12:24 PM,12:33 PM,12:42 PM,12:46 PM,12:56 PM,1:00 PM
20,sat,12:39 PM,12:46 PM,12:52 PM,12:57 PM,1:06 PM,1:15 PM,1:19 PM,1:29 PM,1:33 PM
20,sat,1:10 PM,1:17 PM,1:23 PM,1:28 PM,1:37 PM,1:46 PM,1:50 PM,2:01 PM,2:05 PM
20,sat,1:46 PM,1:53 PM,1:59 PM,2:03 PM,2:11 PM,2:19 PM,2:23 PM,2:34 PM,2:38 PM
20,sat,2:18 PM,2:25 PM,2:31 PM,2:35 PM,2:43 PM,2:51 PM,2:55 PM,3:06 PM,3:10 PM
20,sat,2:48 PM,2:55 PM,3:01 PM,3:05 PM,3:14 PM,3:23 PM,3:27 PM,3:38 PM,3:42 PM
20,sat,3:20 PM,3:27 PM,3:33 PM,3:37 PM,3:46 PM,3:55 PM,3:59 PM,4:10 PM,4:14 PM
20,sat,3:52 PM,3:59 PM,4:05 PM,4:10 PM,4:19 PM,4:28 PM,4:32 PM,4:43 PM,4:47 PM
20,sat,4:24 PM,4:31 PM,4:37 PM,4:42 PM,4:51 PM,4:59 PM,5:03 PM,5:14 PM,5:18 PM
20,sat,4:57 PM,5:04 PM,5:09 PM,5:13 PM,5:21 PM,5:29 PM,5:33 PM,5:44 PM,5:48 PM
20,sat,5:31 PM,5:38 PM,5:43 PM,5:47 PM,5:55 PM,6:03 PM,6:07 PM,6:17 PM,6:21 PM
20,sat,6:01 PM,6:07 PM,6:12 PM,6:16 PM,6:24 PM,6:32 PM,6:36 PM,6:46 PM,6:50 PM
20,sat,6:31 PM,6:37 PM,6:42 PM,6:46 PM,6:54 PM,7:01 PM,7:05 PM,7:14 PM,7:18 PM
20,sat,6:55 PM,7:01 PM,7:05 PM,7:09 PM,7:16 PM,7:23 PM,7:27 PM,7:36 PM,7:40 PM
20,sat,7:23 PM,7:29 PM,7:33 PM,7:37 PM,7:44 PM,7:51 PM,7:55 PM,8:04 PM,8:08 PM
