,,Fair Oaks &,Washington,Washington,Altadena &,New York &,SMV,,SMV,New York &,Washington,Washington,Washington,Woodbury &,Fair Oaks &
Route,Day,Woodbury,& Fair Oaks,& Lake,Washington,Bradley,Station,,Station,Bradley,& Altadena,& Lake,& Fair Oaks,Glen,Woodbury
Rt 32 ,sat,,,,,,,,10:49 AM,10:54 AM,10:57 AM,11:02 AM,11:06 AM,11:13 AM,11:15 AM
Rt 31 ,sat,10:45 AM,10:49 AM,10:53 AM,11:00 AM,,11:10 AM,,11:18 AM,,11:28 AM,11:33 AM,11:37 AM,11:44 AM,11:45 AM
Rt 32,sat,11:15 AM,11:19 AM,11:23 AM,11:29 AM,11:31 AM,11:37 AM,,11:50 AM,11:55 AM,11:58 AM,12:04 PM,12:08 PM,,12:15 PM
Rt 31,sat,11:45 AM,11:49 AM,11:53 AM,11:59 AM,,12:08 PM,,12:21 PM,,12:30 PM,12:36 PM,12:40 PM,,12:47 PM
Rt 32,sat,12:15 PM,12:19 PM,12:23 PM,12:29 PM,12:31 PM,12:37 PM,,12:45 PM,12:50 PM,12:53 PM,12:59 PM,1:03 PM,1:10 PM,1:15 PM
Rt 31,sat,12:47 PM,12:51 PM,12:55 PM,1:01 PM,,1:10 PM,,1:18 PM,,1:27 PM,1:33 PM,1:37 PM,1:44 PM,1:45 PM
Rt 32,sat,1:15 PM,1:19 PM,1:24 PM,1:30 PM,1:32 PM,1:38 PM,,1:46 PM,1:51 PM,1:54 PM,2:00 PM,2:04 PM,2:11 PM,2:15 PM
Rt 31,sat,1:45 PM,1:49 PM,1:54 PM,2:00 PM,,2:09 PM,,2:17 PM,,2:26 PM,2:32 PM,2:36 PM,2:43 PM,2:45 PM
Rt 32,sat,2:15 PM,2:20 PM,2:25 PM,2:31 PM,2:33 PM,2:39 PM,,2:47 PM,2:52 PM,2:55 PM,3:01 PM,3:06 PM,3:13 PM,3:15 PM
Rt 31,sat,2:45 PM,2:50 PM,2:55 PM,3:01 PM,,3:10 PM,,3:18 PM,,3:27 PM,3:33 PM,3:38 PM,,3:45 PM
Rt 32,sat,3:15 PM,3:19 PM,3:23 PM,3:29 PM,3:31 PM,3:37 PM,,3:50 PM,3:55 PM,3:58 PM,4:04 PM,4:09 PM,,4:16 PM
Rt 31,sat,3:45 PM,3:49 PM,3:53 PM,3:59 PM,,4:08 PM,,4:21 PM,,4:30 PM,4:36 PM,4:41 PM,,4:48 PM
Rt 32,sat,4:16 PM,4:20 PM,4:24 PM,4:30 PM,4:32 PM,4:38 PM,,4:46 PM,4:51 PM,4:54 PM,5:00 PM,5:05 PM,5:12 PM,5:18 PM
Rt 31,sat,4:48 PM,4:52 PM,4:56 PM,5:02 PM,,5:12 PM,,5:20 PM,,5:29 PM,5:35 PM,5:40 PM,5:47 PM,5:48 PM
Rt 32,sat,5:18 PM,5:22 PM,5:27 PM,5:33 PM,5:36 PM,5:42 PM,,5:50 PM,5:55 PM,5:58 PM,6:04 PM,6:08 PM,6:15 PM,6:18 PM
Rt 31,sat,5:48 PM,5:52 PM,5:57 PM,6:03 PM,,6:12 PM,,6:20 PM,,6:29 PM,6:35 PM,6:39 PM,6:46 PM,6:48 PM
Rt 32,sat,6:18 PM,6:22 PM,6:26 PM,6:32 PM,6:35 PM,6:41 PM,,6:49 PM,6:54 PM,6:57 PM,7:02 PM,7:06 PM,7:13 PM,7:15 PM
Rt 31,sat,6:48 PM,6:52 PM,6:56 PM,7:02 PM,,7:10 PM,,7:18 PM,,7:26 PM,7:31 PM,7:35 PM,7:42 PM,7:43 PM
Rt 32,sat,7:15 PM,7:19 PM,7:23 PM,7:29 PM,7:32 PM,7:38 PM,,,,,,,,
Rt 31,sat,7:43 PM,7:47 PM,7:51 PM,7:57 PM,,8:05 PM,,,,,,,,
