Route,Day,Raymond & Holly,Walnut & Garfield,Villa & Lake,Allen & Orange Grove,SMV & Station,,SMV & Station,Allen & Orange Grove,Villa & Lake,Walnut & Garfield,Raymond & Holly
40,sat,,,,,,,11:06 AM,11:17 AM,11:22 AM,11:27 AM,11:28 AM
40,sat,11:00 AM,11:05 AM,11:11 AM,11:17 AM,11:27 AM,,11:37 AM,11:48 AM,11:53 AM,11:58 AM,11:59 AM
40,sat,11:32 AM,11:37 AM,11:43 AM,11:49 AM,11:59 AM,,12:09 PM,12:19 PM,12:24 PM,12:29 PM,12:30 PM
40,sat,12:04 PM,12:10 PM,12:16 PM,12:22 PM,12:31 PM,,12:41 PM,12:51 PM,12:56 PM,1:01 PM,1:02 PM
40,sat,12:33 PM,12:39 PM,12:45 PM,12:51 PM,1:01 PM,,1:11 PM,1:23 PM,1:27 PM,1:32 PM,1:34 PM
40,sat,1:05 PM,1:11 PM,1:17 PM,1:23 PM,1:33 PM,,1:43 PM,1:55 PM,1:59 PM,2:04 PM,2:06 PM
40,sat,1:37 PM,1:43 PM,1:49 PM,1:55 PM,2:05 PM,,2:15 PM,2:28 PM,2:32 PM,2:37 PM,2:38 PM
40,sat,2:09 PM,2:15 PM,2:20 PM,2:27 PM,2:37 PM,,2:47 PM,3:00 PM,3:04 PM,3:09 PM,3:10 PM
40,sat,2:41 PM,2:47 PM,2:52 PM,2:59 PM,3:09 PM,,3:19 PM,3:31 PM,3:35 PM,3:40 PM,3:42 PM
40,sat,3:13 PM,3:18 PM,3:23 PM,3:30 PM,3:40 PM,,3:50 PM,4:02 PM,4:06 PM,4:11 PM,4:13 PM
40,sat,3:45 PM,3:50 PM,3:55 PM,4:02 PM,4:12 PM,,4:22 PM,4:34 PM,4:38 PM,4:43 PM,4:45 PM
40,sat,4:15 PM,4:21 PM,4:26 PM,4:33 PM,4:43 PM,,4:53 PM,5:06 PM,5:11 PM,5:16 PM,5:18 PM
40,sat,4:49 PM,4:55 PM,5:00 PM,5:06 PM,5:15 PM,,5:25 PM,5:38 PM,5:43 PM,5:48 PM,5:50 PM
40,sat,5:23 PM,5:29 PM,5:34 PM,5:40 PM,5:49 PM,,5:59 PM,6:09 PM,6:13 PM,6:18 PM,6:20 PM
40,sat,5:53 PM,5:59 PM,6:04 PM,6:10 PM,6:20 PM,,6:30 PM,6:40 PM,6:44 PM,6:49 PM,6:51 PM
40,sat,6:26 PM,6:32 PM,6:37 PM,6:43 PM,6:53 PM,,7:03 PM,7:12 PM,7:16 PM,7:21 PM,7:23 PM
40,sat,6:57 PM,7:03 PM,7:07 PM,7:13 PM,7:22 PM,,7:32 PM,7:41 PM,7:45 PM,7:49 PM,7:50 PM
40,sat,7:25 PM,7:31 PM,7:35 PM,7:41 PM,7:50 PM,,,,,,
